id,label,category,language,from_address,display_name,subject,body,indicators,has_auth_results,spf_result,dkim_result,dmarc_result,origin_ip,domain,domain_age_days
EML-0101,1,bec,english,procurement@partner-invoice.net,Procurement,Invoice approval needed today,Please prioritize this invoice and confirm once the payment has been scheduled. I will be unavailable for most of the day.,urgency language; executive impersonation; bank-detail change; gift-card request,True,pass,none,none,198.51.100.173,partner-invoice.net,90
EML-0027,1,phishing,english,verify@office365-check.com,Microsoft 365,Action required: payment information,A recent payment needs confirmation. Review the transaction and confirm your account details as soon as possible.,suspicious sender identity; account verification request,False,neutral,pass,none,198.51.100.21,office365-check.com,90
EML-0246,0,legitimate,english,billing@vendor.example,Vendor Billing,Monthly HR newsletter,"The monthly HR newsletter is available. It includes upcoming holidays, benefits reminders, and links to the internal employee portal.",known organizational sender; normal internal workflow; no urgent financial action,True,pass,none,pass,198.51.100.184,vendor.example,5000
EML-0228,0,legitimate,english,billing@vendor.example,Vendor Billing,Library due date reminder,This is a reminder that the items on your library account are due next week. You can renew eligible items through the normal library portal.,no urgent financial action,True,pass,none,pass,198.51.100.254,vendor.example,1200
EML-0086,1,phishing,english,admin@uni-portal-verification.com,University Portal,Your mailbox will be suspended,Your mailbox has exceeded the current security threshold. Confirm your sign-in details to prevent interruption of service.,urgency language; lookalike domain; suspicious sender identity,False,neutral,none,fail,198.51.100.222,uni-portal-verification.com,21
EML-0169,1,bec,english,finance.director@vendor-payments.com,Finance Director,Urgent confidential request,I am in a meeting and need this handled immediately. Please arrange the requested payment and send the confirmation once completed.,gift-card request; payment request; out-of-band verification needed; urgency language,False,neutral,none,fail,198.51.100.216,vendor-payments.com,180
EML-0267,0,legitimate,english,noreply@service.example,Service Notifications,Meeting agenda,"Please find the agenda for tomorrow's team meeting. We will review project progress, open actions, and next week's priorities.",no urgent financial action,False,pass,pass,none,198.51.100.69,service.example,700
EML-0073,1,phishing,english,security@amaz0n-help.com,Amazon Security,Refund notification,Your refund is ready for processing. Confirm the requested account information so the refund can be completed.,account verification request; authentication anomaly,True,neutral,pass,pass,198.51.100.62,amaz0n-help.com,21
EML-0171,1,bec,english,procurement@partner-invoice.net,Procurement,Invoice approval needed today,Please prioritize this invoice and confirm once the payment has been scheduled. I will be unavailable for most of the day.,urgency language; bank-detail change; payment request; out-of-band verification needed,True,fail,fail,pass,198.51.100.177,partner-invoice.net,8
EML-0074,1,phishing,english,support@paypa1-security.com,PayPal Security,Action required: payment information,A recent payment needs confirmation. Review the transaction and confirm your account details as soon as possible.,unexpected payment/account action; suspicious sender identity; authentication anomaly,True,pass,pass,fail,198.51.100.181,paypa1-security.com,45
EML-0084,1,phishing,english,support@paypa1-security.com,PayPal Security,Document shared with you,A protected document is waiting for review. Sign in to view the document and confirm your identity.,account verification request; unexpected payment/account action; lookalike domain; suspicious sender identity,False,fail,fail,fail,198.51.100.251,paypa1-security.com,90
EML-0066,1,phishing,hinglish,verify@office365-check.com,Microsoft 365,Mailbox warning,Aapka mailbox storage limit ke paas hai. Official IT portal par storage status check karein. Kisi unknown link par login details enter na karein.,suspicious sender identity; lookalike domain; unexpected payment/account action; authentication anomaly,False,fail,fail,none,198.51.100.117,office365-check.com,45
EML-0273,0,legitimate,hinglish,billing@vendor.example,Vendor Billing,Salary update notice,Salary processing schedule ke baare me HR ka monthly update available hai. Details internal HR portal par check karein.,routine notification; known organizational sender,True,neutral,pass,none,198.51.100.78,vendor.example,1200
EML-0025,1,phishing,english,security@amaz0n-help.com,Amazon Security,Refund notification,Your refund is ready for processing. Confirm the requested account information so the refund can be completed.,unexpected payment/account action; account verification request; suspicious sender identity; authentication anomaly,True,pass,none,none,198.51.100.139,amaz0n-help.com,8
EML-0251,0,legitimate,english,hr@acme.example,ACME HR,Monthly HR newsletter,"The monthly HR newsletter is available. It includes upcoming holidays, benefits reminders, and links to the internal employee portal.",normal internal workflow; no urgent financial action; standard policy reminder,True,pass,pass,none,198.51.100.124,acme.example,2500
EML-0097,1,phishing,english,support@paypa1-security.com,PayPal Security,Your mailbox will be suspended,Your mailbox has exceeded the current security threshold. Confirm your sign-in details to prevent interruption of service.,unexpected payment/account action; lookalike domain; urgency language; suspicious sender identity,False,neutral,pass,none,198.51.100.191,paypa1-security.com,90
EML-0144,1,bec,hinglish,procurement@partner-invoice.net,Procurement,Confidential request,Main meeting me hoon. Is request ko priority dein aur payment confirmation bhej dein. Verification ke liye known phone number use karein.,executive impersonation; gift-card request; out-of-band verification needed; payment request,True,pass,fail,fail,198.51.100.232,partner-invoice.net,180
EML-0087,1,phishing,english,accounts@bank-secure-alerts.com,Bank Security,Document shared with you,A protected document is waiting for review. Sign in to view the document and confirm your identity.,suspicious sender identity; authentication anomaly; unexpected payment/account action,True,fail,pass,none,198.51.100.62,bank-secure-alerts.com,180
EML-0256,0,legitimate,english,it@acme.example,ACME IT,Meeting agenda,"Please find the agenda for tomorrow's team meeting. We will review project progress, open actions, and next week's priorities.",no urgent financial action; normal internal workflow,True,pass,pass,none,198.51.100.221,acme.example,5000
EML-0268,0,legitimate,hinglish,hr@acme.example,ACME HR,Meeting reminder,Kal ki meeting ka agenda internal calendar me available hai. Agar koi update ho to meeting se pehle add kar dein.,expected meeting/HR communication; normal internal workflow,False,pass,pass,pass,198.51.100.183,acme.example,2500
EML-0054,1,phishing,english,security@amaz0n-help.com,Amazon Security,Document shared with you,A protected document is waiting for review. Sign in to view the document and confirm your identity.,unexpected payment/account action; account verification request,False,neutral,pass,fail,198.51.100.152,amaz0n-help.com,180
EML-0014,1,phishing,english,support@paypa1-security.com,PayPal Security,Refund notification,Your refund is ready for processing. Confirm the requested account information so the refund can be completed.,lookalike domain; suspicious sender identity; account verification request; urgency language,True,pass,none,none,198.51.100.236,paypa1-security.com,8
EML-0201,0,legitimate,english,it@acme.example,ACME IT,Invoice received,We have received your invoice and it has been added to our normal payment workflow. Our accounts team will contact you if additional information is required.,expected meeting/HR communication; standard policy reminder,True,pass,none,none,198.51.100.234,acme.example,5000
EML-0167,1,bec,english,finance.director@vendor-payments.com,Finance Director,Bank details changed,Our banking details have changed for this invoice. Please update the beneficiary information before releasing the payment.,bank-detail change; gift-card request,True,pass,none,pass,198.51.100.78,vendor-payments.com,21
EML-0215,0,legitimate,english,billing@vendor.example,Vendor Billing,Library due date reminder,This is a reminder that the items on your library account are due next week. You can renew eligible items through the normal library portal.,standard policy reminder,True,pass,pass,pass,198.51.100.220,vendor.example,1200
EML-0142,1,bec,english,director.accounts@business-support.org,Director Accounts,Vendor payment update,Please use the updated payment instructions in the attached request for the outstanding invoice. This is time-sensitive.,urgency language; bank-detail change; payment request; out-of-band verification needed,True,fail,fail,pass,198.51.100.95,business-support.org,365
EML-0050,1,phishing,english,security@amaz0n-help.com,Amazon Security,Urgent: Verify your account,We detected unusual activity on your account. Please review your security details using the account verification page. Your access may be limited if verification is not completed today.,account verification request; lookalike domain; suspicious sender identity,True,neutral,pass,pass,198.51.100.39,amaz0n-help.com,21
EML-0116,1,bec,english,procurement@partner-invoice.net,Procurement,Gift cards for client meeting,Please purchase several gift cards for an upcoming client meeting and send the codes to me after purchase.,payment request; bank-detail change; executive impersonation,True,pass,pass,fail,198.51.100.25,partner-invoice.net,365
EML-0122,1,bec,english,procurement@partner-invoice.net,Procurement,Vendor payment update,Please use the updated payment instructions in the attached request for the outstanding invoice. This is time-sensitive.,out-of-band verification needed; urgency language; executive impersonation,True,pass,pass,none,198.51.100.13,partner-invoice.net,365
EML-0260,0,legitimate,english,it@acme.example,ACME IT,Password policy update,The organization's password policy has been updated. Please review the policy on the internal IT portal and contact the help desk with questions.,normal internal workflow; known organizational sender; no urgent financial action,True,pass,pass,pass,198.51.100.159,acme.example,700
EML-0179,1,bec,hinglish,director.accounts@business-support.org,Director Accounts,Payment jaldi process karein,Ye invoice urgent hai. Payment release karne se pehle approved vendor record aur bank details independently verify karein.,urgency language; gift-card request; out-of-band verification needed,True,pass,none,none,198.51.100.103,business-support.org,180
EML-0219,0,legitimate,english,hr@acme.example,ACME HR,Scheduled maintenance notice,The IT team will perform scheduled maintenance this weekend. Some internal services may be unavailable during the maintenance window.,known organizational sender; normal internal workflow; standard policy reminder,True,pass,none,pass,198.51.100.199,acme.example,2500
EML-0093,1,phishing,hinglish,accounts@bank-secure-alerts.com,Bank Security,Account verify karna zaroori hai,Aapke account me unusual activity detect hui hai. Kripya official account portal se security details review karein. Agar aapne activity nahi ki hai to IT help desk se contact karein.,lookalike domain; unexpected payment/account action; account verification request,True,neutral,fail,none,198.51.100.175,bank-secure-alerts.com,1200
EML-0163,1,bec,english,procurement@partner-invoice.net,Procurement,Urgent confidential request,I am in a meeting and need this handled immediately. Please arrange the requested payment and send the confirmation once completed.,urgency language; executive impersonation; out-of-band verification needed; payment request,True,neutral,none,none,198.51.100.164,partner-invoice.net,21
EML-0212,0,legitimate,english,it@acme.example,ACME IT,Monthly HR newsletter,"The monthly HR newsletter is available. It includes upcoming holidays, benefits reminders, and links to the internal employee portal.",no urgent financial action; normal internal workflow; expected meeting/HR communication,False,neutral,none,pass,198.51.100.61,acme.example,2500
EML-0235,0,legitimate,hinglish,billing@vendor.example,Vendor Billing,Meeting reminder,Kal ki meeting ka agenda internal calendar me available hai. Agar koi update ho to meeting se pehle add kar dein.,normal internal workflow; no urgent financial action,False,pass,pass,pass,198.51.100.175,vendor.example,5000
EML-0095,1,phishing,english,verify@office365-check.com,Microsoft 365,Urgent: Verify your account,We detected unusual activity on your account. Please review your security details using the account verification page. Your access may be limited if verification is not completed today.,authentication anomaly; suspicious sender identity; account verification request,True,fail,fail,none,198.51.100.77,office365-check.com,365
EML-0281,0,legitimate,english,hr@acme.example,ACME HR,Password policy update,The organization's password policy has been updated. Please review the policy on the internal IT portal and contact the help desk with questions.,no urgent financial action; normal internal workflow; standard policy reminder,False,pass,pass,none,198.51.100.14,acme.example,1200
EML-0242,0,legitimate,english,library@university.example,University Library,Scheduled maintenance notice,The IT team will perform scheduled maintenance this weekend. Some internal services may be unavailable during the maintenance window.,known organizational sender,True,neutral,pass,pass,198.51.100.113,university.example,2500
EML-0220,0,legitimate,english,library@university.example,University Library,Meeting agenda,"Please find the agenda for tomorrow's team meeting. We will review project progress, open actions, and next week's priorities.",no urgent financial action; expected meeting/HR communication,False,pass,pass,pass,198.51.100.206,university.example,5000
EML-0236,0,legitimate,hinglish,it@acme.example,ACME IT,Meeting reminder,Kal ki meeting ka agenda internal calendar me available hai. Agar koi update ho to meeting se pehle add kar dein.,routine notification; expected meeting/HR communication; no urgent financial action,True,pass,none,none,198.51.100.40,acme.example,5000
EML-0289,0,legitimate,english,library@university.example,University Library,Monthly HR newsletter,"The monthly HR newsletter is available. It includes upcoming holidays, benefits reminders, and links to the internal employee portal.",no urgent financial action; standard policy reminder,True,pass,none,none,198.51.100.161,university.example,700
EML-0132,1,bec,english,finance.director@vendor-payments.com,Finance Director,Gift cards for client meeting,Please purchase several gift cards for an upcoming client meeting and send the codes to me after purchase.,executive impersonation; bank-detail change; gift-card request,False,fail,fail,none,198.51.100.15,vendor-payments.com,45
EML-0065,1,phishing,english,security@amaz0n-help.com,Amazon Security,Action required: payment information,A recent payment needs confirmation. Review the transaction and confirm your account details as soon as possible.,authentication anomaly; unexpected payment/account action; suspicious sender identity,True,pass,fail,pass,198.51.100.104,amaz0n-help.com,365
EML-0077,1,phishing,english,accounts@bank-secure-alerts.com,Bank Security,Document shared with you,A protected document is waiting for review. Sign in to view the document and confirm your identity.,suspicious sender identity; unexpected payment/account action; authentication anomaly; urgency language,False,pass,fail,none,198.51.100.83,bank-secure-alerts.com,180
EML-0277,0,legitimate,english,billing@vendor.example,Vendor Billing,Scheduled maintenance notice,The IT team will perform scheduled maintenance this weekend. Some internal services may be unavailable during the maintenance window.,expected meeting/HR communication,True,pass,pass,pass,198.51.100.226,vendor.example,2500
EML-0225,0,legitimate,english,hr@acme.example,ACME HR,Scheduled maintenance notice,The IT team will perform scheduled maintenance this weekend. Some internal services may be unavailable during the maintenance window.,normal internal workflow; routine notification; expected meeting/HR communication,False,pass,pass,pass,198.51.100.159,acme.example,5000
EML-0126,1,bec,english,procurement@partner-invoice.net,Procurement,Bank details changed,Our banking details have changed for this invoice. Please update the beneficiary information before releasing the payment.,bank-detail change; executive impersonation,True,pass,fail,pass,198.51.100.221,partner-invoice.net,45
EML-0255,0,legitimate,english,billing@vendor.example,Vendor Billing,Invoice received,We have received your invoice and it has been added to our normal payment workflow. Our accounts team will contact you if additional information is required.,expected meeting/HR communication,True,pass,pass,none,198.51.100.208,vendor.example,700
EML-0117,1,bec,english,ceo.office@company-mailbox.com,Executive Office,Vendor payment update,Please use the updated payment instructions in the attached request for the outstanding invoice. This is time-sensitive.,gift-card request; out-of-band verification needed; urgency language; bank-detail change,True,fail,fail,none,198.51.100.241,company-mailbox.com,1200
EML-0075,1,phishing,english,support@paypa1-security.com,PayPal Security,Document shared with you,A protected document is waiting for review. Sign in to view the document and confirm your identity.,account verification request; lookalike domain; authentication anomaly; unexpected payment/account action,True,neutral,pass,none,198.51.100.39,paypa1-security.com,45
EML-0112,1,bec,english,procurement@partner-invoice.net,Procurement,Bank details changed,Our banking details have changed for this invoice. Please update the beneficiary information before releasing the payment.,out-of-band verification needed; executive impersonation; gift-card request,True,fail,fail,none,198.51.100.28,partner-invoice.net,90
EML-0038,1,phishing,english,accounts@bank-secure-alerts.com,Bank Security,Your mailbox will be suspended,Your mailbox has exceeded the current security threshold. Confirm your sign-in details to prevent interruption of service.,account verification request; urgency language,False,pass,fail,fail,198.51.100.72,bank-secure-alerts.com,1200
EML-0040,1,phishing,hinglish,accounts@bank-secure-alerts.com,Bank Security,Document review,Ek document aapke review ke liye available hai. Company ke normal document portal se login karke document open karein.,lookalike domain; unexpected payment/account action; urgency language; account verification request,False,pass,fail,pass,198.51.100.182,bank-secure-alerts.com,90
EML-0131,1,bec,english,director.accounts@business-support.org,Director Accounts,Vendor payment update,Please use the updated payment instructions in the attached request for the outstanding invoice. This is time-sensitive.,gift-card request; out-of-band verification needed; bank-detail change,False,neutral,none,none,198.51.100.253,business-support.org,180
EML-0192,0,legitimate,hinglish,hr@acme.example,ACME HR,Salary update notice,Salary processing schedule ke baare me HR ka monthly update available hai. Details internal HR portal par check karein.,normal internal workflow; known organizational sender; standard policy reminder,True,neutral,pass,pass,198.51.100.83,acme.example,2500
EML-0094,1,phishing,hinglish,support@paypa1-security.com,PayPal Security,Urgent payment request,Ye payment request urgent hai. Kripya invoice details ko approved vendor record se verify karke hi payment process karein.,unexpected payment/account action; suspicious sender identity; account verification request; authentication anomaly,False,pass,pass,fail,198.51.100.164,paypa1-security.com,45
EML-0265,0,legitimate,english,billing@vendor.example,Vendor Billing,Monthly HR newsletter,"The monthly HR newsletter is available. It includes upcoming holidays, benefits reminders, and links to the internal employee portal.",no urgent financial action; routine notification,True,pass,pass,pass,198.51.100.208,vendor.example,2500
EML-0138,1,bec,english,finance.director@vendor-payments.com,Finance Director,Invoice approval needed today,Please prioritize this invoice and confirm once the payment has been scheduled. I will be unavailable for most of the day.,out-of-band verification needed; executive impersonation; urgency language; bank-detail change,True,neutral,fail,pass,198.51.100.172,vendor-payments.com,365
EML-0276,0,legitimate,hinglish,noreply@service.example,Service Notifications,Salary update notice,Salary processing schedule ke baare me HR ka monthly update available hai. Details internal HR portal par check karein.,known organizational sender; routine notification; standard policy reminder,False,pass,pass,pass,198.51.100.178,service.example,1200
EML-0109,1,bec,english,finance.director@vendor-payments.com,Finance Director,Gift cards for client meeting,Please purchase several gift cards for an upcoming client meeting and send the codes to me after purchase.,executive impersonation; urgency language; payment request; out-of-band verification needed,False,fail,pass,pass,198.51.100.170,vendor-payments.com,1200
EML-0149,1,bec,english,director.accounts@business-support.org,Director Accounts,Urgent confidential request,I am in a meeting and need this handled immediately. Please arrange the requested payment and send the confirmation once completed.,gift-card request; executive impersonation; payment request; urgency language,True,fail,fail,pass,198.51.100.158,business-support.org,45
EML-0130,1,bec,english,finance.director@vendor-payments.com,Finance Director,Vendor payment update,Please use the updated payment instructions in the attached request for the outstanding invoice. This is time-sensitive.,payment request; urgency language,True,pass,none,pass,198.51.100.195,vendor-payments.com,1200
EML-0195,0,legitimate,english,library@university.example,University Library,Library due date reminder,This is a reminder that the items on your library account are due next week. You can renew eligible items through the normal library portal.,expected meeting/HR communication; standard policy reminder,False,pass,pass,none,198.51.100.120,university.example,2500
EML-0295,0,legitimate,hinglish,library@university.example,University Library,Salary update notice,Salary processing schedule ke baare me HR ka monthly update available hai. Details internal HR portal par check karein.,no urgent financial action; standard policy reminder; normal internal workflow,True,pass,none,pass,198.51.100.198,university.example,1200
EML-0286,0,legitimate,english,it@acme.example,ACME IT,Invoice received,We have received your invoice and it has been added to our normal payment workflow. Our accounts team will contact you if additional information is required.,normal internal workflow,True,pass,pass,pass,198.51.100.157,acme.example,700
EML-0018,1,phishing,english,admin@uni-portal-verification.com,University Portal,Refund notification,Your refund is ready for processing. Confirm the requested account information so the refund can be completed.,suspicious sender identity; account verification request,True,pass,none,none,198.51.100.16,uni-portal-verification.com,21
EML-0284,0,legitimate,english,billing@vendor.example,Vendor Billing,Monthly HR newsletter,"The monthly HR newsletter is available. It includes upcoming holidays, benefits reminders, and links to the internal employee portal.",no urgent financial action; standard policy reminder; known organizational sender,True,neutral,pass,pass,198.51.100.164,vendor.example,1200
EML-0198,0,legitimate,hinglish,billing@vendor.example,Vendor Billing,Salary update notice,Salary processing schedule ke baare me HR ka monthly update available hai. Details internal HR portal par check karein.,normal internal workflow; routine notification,True,pass,pass,pass,198.51.100.193,vendor.example,2500
EML-0214,0,legitimate,english,noreply@service.example,Service Notifications,Invoice received,We have received your invoice and it has been added to our normal payment workflow. Our accounts team will contact you if additional information is required.,routine notification; no urgent financial action,False,neutral,pass,none,198.51.100.82,service.example,5000
EML-0224,0,legitimate,english,it@acme.example,ACME IT,Invoice received,We have received your invoice and it has been added to our normal payment workflow. Our accounts team will contact you if additional information is required.,expected meeting/HR communication; routine notification; standard policy reminder,True,neutral,pass,pass,198.51.100.106,acme.example,1200
EML-0181,0,legitimate,english,noreply@service.example,Service Notifications,Invoice received,We have received your invoice and it has been added to our normal payment workflow. Our accounts team will contact you if additional information is required.,no urgent financial action; standard policy reminder; expected meeting/HR communication,False,neutral,none,pass,198.51.100.182,service.example,2500
EML-0230,0,legitimate,english,billing@vendor.example,Vendor Billing,Monthly HR newsletter,"The monthly HR newsletter is available. It includes upcoming holidays, benefits reminders, and links to the internal employee portal.",expected meeting/HR communication; no urgent financial action,False,pass,none,pass,198.51.100.59,vendor.example,1200
EML-0221,0,legitimate,english,it@acme.example,ACME IT,Library due date reminder,This is a reminder that the items on your library account are due next week. You can renew eligible items through the normal library portal.,no urgent financial action; known organizational sender,True,neutral,pass,none,198.51.100.38,acme.example,700
EML-0223,0,legitimate,english,library@university.example,University Library,Password policy update,The organization's password policy has been updated. Please review the policy on the internal IT portal and contact the help desk with questions.,known organizational sender; expected meeting/HR communication,True,pass,none,pass,198.51.100.44,university.example,1200
EML-0202,0,legitimate,english,it@acme.example,ACME IT,Password policy update,The organization's password policy has been updated. Please review the policy on the internal IT portal and contact the help desk with questions.,expected meeting/HR communication,False,pass,none,pass,198.51.100.136,acme.example,2500
EML-0010,1,phishing,english,alerts@micr0soft-login.com,Microsoft Account Team,Document shared with you,A protected document is waiting for review. Sign in to view the document and confirm your identity.,account verification request; authentication anomaly; lookalike domain,False,neutral,fail,none,198.51.100.103,micr0soft-login.com,45
EML-0241,0,legitimate,english,hr@acme.example,ACME HR,Invoice received,We have received your invoice and it has been added to our normal payment workflow. Our accounts team will contact you if additional information is required.,no urgent financial action; normal internal workflow,False,neutral,pass,none,198.51.100.158,acme.example,1200
EML-0218,0,legitimate,english,noreply@service.example,Service Notifications,Scheduled maintenance notice,The IT team will perform scheduled maintenance this weekend. Some internal services may be unavailable during the maintenance window.,expected meeting/HR communication; standard policy reminder; normal internal workflow,True,pass,pass,pass,198.51.100.245,service.example,700
EML-0143,1,bec,english,director.accounts@business-support.org,Director Accounts,Invoice approval needed today,Please prioritize this invoice and confirm once the payment has been scheduled. I will be unavailable for most of the day.,bank-detail change; gift-card request; out-of-band verification needed,True,pass,none,pass,198.51.100.224,business-support.org,45
EML-0188,0,legitimate,english,noreply@service.example,Service Notifications,Library due date reminder,This is a reminder that the items on your library account are due next week. You can renew eligible items through the normal library portal.,no urgent financial action; expected meeting/HR communication; routine notification,False,neutral,none,pass,198.51.100.230,service.example,5000
EML-0113,1,bec,english,ceo.office@company-mailbox.com,Executive Office,Invoice approval needed today,Please prioritize this invoice and confirm once the payment has been scheduled. I will be unavailable for most of the day.,urgency language; gift-card request,True,pass,pass,fail,198.51.100.160,company-mailbox.com,365
EML-0133,1,bec,english,director.accounts@business-support.org,Director Accounts,Gift cards for client meeting,Please purchase several gift cards for an upcoming client meeting and send the codes to me after purchase.,executive impersonation; out-of-band verification needed; urgency language,True,pass,none,pass,198.51.100.158,business-support.org,180
EML-0191,0,legitimate,english,noreply@service.example,Service Notifications,Password policy update,The organization's password policy has been updated. Please review the policy on the internal IT portal and contact the help desk with questions.,expected meeting/HR communication,True,pass,pass,pass,198.51.100.85,service.example,5000
EML-0019,1,phishing,hinglish,accounts@bank-secure-alerts.com,Bank Security,Account verify karna zaroori hai,Aapke account me unusual activity detect hui hai. Kripya official account portal se security details review karein. Agar aapne activity nahi ki hai to IT help desk se contact karein.,suspicious sender identity; account verification request,True,neutral,fail,pass,198.51.100.139,bank-secure-alerts.com,21
EML-0299,0,legitimate,english,hr@acme.example,ACME HR,Password policy update,The organization's password policy has been updated. Please review the policy on the internal IT portal and contact the help desk with questions.,routine notification; standard policy reminder; normal internal workflow,False,pass,pass,none,198.51.100.146,acme.example,700
EML-0124,1,bec,hinglish,procurement@partner-invoice.net,Procurement,Confidential request,Main meeting me hoon. Is request ko priority dein aur payment confirmation bhej dein. Verification ke liye known phone number use karein.,payment request; bank-detail change,False,pass,pass,pass,198.51.100.78,partner-invoice.net,21
EML-0042,1,phishing,english,verify@office365-check.com,Microsoft 365,Your mailbox will be suspended,Your mailbox has exceeded the current security threshold. Confirm your sign-in details to prevent interruption of service.,lookalike domain; suspicious sender identity; account verification request; urgency language,True,neutral,fail,none,198.51.100.192,office365-check.com,21
EML-0243,0,legitimate,english,noreply@service.example,Service Notifications,Password policy update,The organization's password policy has been updated. Please review the policy on the internal IT portal and contact the help desk with questions.,no urgent financial action,True,neutral,none,pass,198.51.100.123,service.example,2500
EML-0185,0,legitimate,english,noreply@service.example,Service Notifications,Invoice received,We have received your invoice and it has been added to our normal payment workflow. Our accounts team will contact you if additional information is required.,known organizational sender; routine notification; normal internal workflow,False,pass,none,pass,198.51.100.170,service.example,5000
